alg,fid,dim,seed,f
SCA,6,10,2032,2849097.315465179
SCA,6,10,2033,7075323.222308339
SCA,6,10,2034,6569369.641171498
SCA,6,10,2035,4863577.449384777
SCA,6,10,2036,1693557.7712318543
SCA,6,10,2037,3255162.5154454843
SCA,6,10,2038,1518605.1253179274
SCA,6,10,2039,790568.359279413
SCA,6,10,2040,3048896.24269555
SCA,6,10,2041,2280932.852109112
SCA,6,10,2042,2838975.123399439
SCA,6,10,2043,3544665.382631079
SCA,6,10,2044,1310494.5380332277
SCA,6,10,2045,6022145.937433435
SCA,6,10,2046,3080100.224459523
SCA,6,10,2047,2717725.994755696
SCA,6,10,2048,8188576.172590421
SCA,6,10,2049,2958319.9703328605
SCA,6,10,2050,4021102.357512261
SCA,6,10,2051,4822576.087629918
SCA,6,10,2052,5120408.696982993
SCA,6,10,2053,11369754.102270668
SCA,6,10,2054,5695667.480465767
SCA,6,10,2055,1403420.0818820589
SCA,7,10,2026,2091.816247014454
SCA,7,10,2027,2117.77769445936
SCA,7,10,2028,2148.8453180683214
SCA,7,10,2029,2108.909249719072
SCA,7,10,2030,2106.017004404701
SCA,7,10,2031,2089.438636287993
SCA,7,10,2032,2114.966789417389
SCA,7,10,2033,2118.606477456168
SCA,7,10,2034,2097.495139658609
SCA,7,10,2035,2124.5407495225186
SCA,7,10,2036,2087.6768720865603
SCA,7,10,2037,2143.430950484089
SCA,7,10,2038,2125.4411029435096
SCA,7,10,2039,2100.33185811019
SCA,7,10,2040,2105.2631798765337
SCA,7,10,2041,2089.5505968280104
SCA,7,10,2042,2125.6997292626243
SCA,7,10,2043,2117.3318566111984
SCA,7,10,2044,2092.526672311306
SCA,7,10,2045,2108.0236583479405
SCA,7,10,2046,2114.176650533733
SCA,7,10,2047,2095.298512224993
SCA,7,10,2048,2096.473104827664
SCA,7,10,2049,2097.677083398542
SCA,7,10,2050,2088.063630890143
SCA,7,10,2051,2152.7835368509955
SCA,7,10,2052,2096.0981699518925
SCA,7,10,2053,2100.4445530888383
SCA,7,10,2054,2082.108217890237
SCA,7,10,2055,2085.324822503776
SCA,12,10,2026,2905.481765220344
SCA,12,10,2027,2932.1102665044787
SCA,12,10,2028,2912.7380513967423
